SN_Name,E_B_V_SFD
sn1993ac,0.13901358988422918
sn1993ae,0.033527245975824266
sn1994D,0.01910361650002427
sn1994M,0.01959836751519633
sn1994Q,0.014967825376769188
sn1994S,0.018084093648070492
sn1994T,0.025512739414199157
sn1994ae,0.026409879081562913
sn1995D,0.04910269152275666
sn1995E,0.02279066293082054
sn1995Y,0.05005119952266645
sn1995ac,0.0364768146142012
sn1995ak,0.03259857605347518
sn1995al,0.011615276833038235
sn1995bd,0.4213651067881771
sn1996C,0.012076757790680875
sn1996V,0.04334175492783927
sn1996X,0.059707836994216654
sn1996Z,0.054598117380886914
sn1996ab,0.02774581987106149
sn1996ac,0.01987394836710508
sn1996ai,0.012138368742347562
sn1996bk,0.0154696450158099
sn1996bl,0.08550538328301073
sn1996bo,0.06641614768895801
sn1996bt,0.11103326652887326
sn1996bv,0.09038761431976118
sn1996by,0.08756383462666223
sn1996ca,0.04979784542648528
sn1997E,0.10955814953332473
sn1997Y,0.014330620148631828
sn1997bp,0.03808626996284095
sn1997bq,0.021517268757162387
sn1997br,0.09711312597007478
sn1997by,0.046078784420965996
sn1997bz,0.03306424037085222
sn1997cn,0.023005929845524038
sn1997ct,0.014250055224252546
sn1997cw,0.06331058956486521
sn1997do,0.05310422572993452
sn1997dt,0.048390325526096886
sn1998D,0.013257962642915781
sn1998V,0.16913278392389233
sn1998ab,0.014577502462308184
sn1998an,0.07948729415834718
sn1998aq,0.012139507711751273
sn1998bn,0.08688787897002871
sn1998bp,0.06711509751710606
sn1998bu,0.021655168609472957
sn1998cn,0.014413121394964942
sn1998co,0.03671128556358539
sn1998cs,0.01012076557386686
sn1998de,0.051045722305427255
sn1998dh,0.057880473067331996
sn1998dk,0.03858270556080115
sn1998dm,0.03901669727600855
sn1998dx,0.03474412923569586
sn1998eb,0.1065931632020666
sn1998ec,0.07267134993531219
sn1998ef,0.0633804679597529
sn1998eg,0.10378959087289139
sn1998es,0.027630111735186962
sn1998ex,0.027912921335859105
sn1999X,0.027368174311900292
sn1999aa,0.03416968042698758
sn1999ac,0.039552378269284705
sn1999be,0.039107049207272135
sn1999bh,0.01283419038810057
sn1999bt,0.043433636437112975
sn1999bv,0.021673362188434152
sn1999by,0.013513376601526104
sn1999cb,0.006870150677965748
sn1999cc,0.019593458875033533
sn1999ce,0.011197726134269925
sn1999cf,0.016308441016447253
sn1999cl,0.03267237042306868
sn1999cm,0.013095259142833568
sn1999cp,0.021118570460534964
sn1999cw,0.03082993246526592
sn1999da,0.04421103591517918
sn1999dq,0.09383707469437455
sn1999ef,0.07564680452516298
sn1999ej,0.061847130217532374
sn1999ek,0.4885899171380044
sn1999gd,0.035357978220180865
sn1999gh,0.04947260745265905
sn1999gj,0.02392415823726611
sn1999gm,0.035502624455712915
sn1999gp,0.048073714968077406
sn2000A,0.050775989454383545
sn2000B,0.05918362687598386
sn2000E,0.31985960455903556
sn2000K,0.00991419030163548
sn2000O,0.03571108391928493
sn2000bh,0.04356829017277068
sn2000bk,0.022349453050658576
sn2000ce,0.04862289352642099
sn2000cf,0.02872498351422092
sn2000cm,0.015491275986528186
sn2000cn,0.04902644573195995
sn2000cp,0.043040973133437216
sn2000cu,0.0759969901780289
sn2000cv,0.015945545798286345
sn2000cw,0.06193814542402633
sn2000cx,0.07011608209333245
sn2000dg,0.07948238169423709
sn2000dk,0.060609525469924846
sn2000dl,0.03555824734454479
sn2000dm,0.15921259914267805
sn2000dn,0.0412537007833431
sn2000dp,0.03279307794055486
sn2000ey,0.06597762752865294
sn2000fa,0.0577131086937549
sn2000fd,0.07167365502894923
sn2000fo,0.05868896162711151
sn2001C,0.060283864516319986
sn2001E,0.03354121241204648
sn2001F,0.024074327811524472
sn2001G,0.013486572341607262
sn2001L,0.030555152759630444
sn2001N,0.023147848959887203
sn2001P,0.035020020203022875
sn2001U,0.03828504381707735
sn2001V,0.01683784532637126
sn2001ah,0.01107448089238171
sn2001ay,0.016252418025863805
sn2001az,0.04357987363702358
sn2001bf,0.08495923470267135
sn2001bg,0.033684597007297465
sn2001bp,0.019705310318132194
sn2001br,0.05553737704459932
sn2001bs,0.026321365169660074
sn2001cj,0.01209983972653032
sn2001ck,0.010900044025456246
sn2001cp,0.1346444357893111
sn2001da,0.04989742203475975
sn2001de,0.18817399924507575
sn2001eb,0.07328585677299362
sn2001ec,0.07084849952932688
sn2001ed,0.04997864966187597
sn2001eh,0.0546996166765461
sn2001en,0.046387593859556986
sn2001eo,0.04787894515879812
sn2001ep,0.040716695177214005
sn2001es,0.0705837184478513
sn2001ex,0.045585907050074675
sn2001fe,0.019283522785750254
sn2001fh,0.6418687051725311
sn2001fu,0.16730304935018483
sn2001gb,0.028814195338064737
sn2001gc,0.18075617059372065
sn2001ib,0.1302584906983964
sn2001ic,0.058609205979322176
sn2001ie,0.007370344240215145
sn2001if,0.05118744423617477
sn2001iq,0.12277506369252665
sn2002G,0.01088154489475585
sn2002H,0.06569409960810467
sn2002I,0.029467589551921036
sn2002ar,0.026664209786971264
sn2002av,0.03635503990479806
sn2002aw,0.0059639135937638865
sn2002bf,0.00963762533044094
sn2002bg,0.028980694702678757
sn2002bi,0.026834700349587678
sn2002bn,0.012365022624589203
sn2002bo,0.021557940467598107
sn2002br,0.02488248086042384
sn2002bs,0.0699514679311926
sn2002bt,0.023682819075966845
sn2002bw,0.5899719514208053
sn2002bz,0.016246757695460468
sn2002cc,0.04344507494083232
sn2002cd,0.3486264825297503
sn2002cf,0.031122854787674972
sn2002ci,0.028580532676842137
sn2002ck,0.08439458997982364
sn2002cr,0.02117427188000425
sn2002cs,0.09268405394559298
sn2002cu,0.053829627707907876
sn2002cx,0.027752570383984286
sn2002db,0.02809389451865782
sn2002de,0.01673407334534432
sn2002df,0.04594462648096604
sn2002di,0.029110133260658852
sn2002dj,0.08183600592501286
sn2002dk,0.1259734688336614
sn2002dl,0.06672518298081132
sn2002do,0.2698344464932314
sn2002dp,0.04207443028418505
sn2002ef,0.027743871600406592
sn2002er,0.1380443667010624
sn2002es,0.15503642982153926
sn2002et,0.12146183351336903
sn2002eu,0.03908329182844014
sn2002ey,0.05043963316981028
sn2002fb,0.07611485710541914
sn2002fk,0.03437929573616223
sn2002ha,0.08790879311701733
sn2002hd,0.03269797820982299
sn2002he,0.03406018346160057
sn2002hu,0.03838943514499528
sn2002hv,0.015232836242979332
sn2002hw,0.0906370595591363
sn2002jg,0.057081049662876526
sn2002jm,0.04291286956978978
sn2002jy,0.045609125806256444
sn2002kf,0.10026982652367611
sn2003D,0.056096585315469114
sn2003F,0.2827759241328949
sn2003K,0.02368390933672675
sn2003M,0.023375948882029082
sn2003S,0.00808416752964781
sn2003U,0.02549106093810649
sn2003W,0.04111309020105354
sn2003Y,0.04095317937463527
sn2003ae,0.02092452091534431
sn2003af,0.014413301537754882
sn2003ag,0.030362340201960384
sn2003ai,0.012560531914831783
