Filename,SNR,SN_Name,Age_(days),Age_Unc_(days),redshift,Dm15,Subtype,dm15,bootstrap_age,snid_std_dev,delta_age,delta_age_unc,MJD
sn2005hc-20051030.32-fast.flm,35.94,2005hc,5.373362654175943,0.382445740510565,0.0459,1.03,N,1.03,5.2,0.5285,-0.1733626541759427,0.6523626249523148,53673.32
sn2006ac-20060221.43-fast.flm,59.63,2006ac,6.189498386625351,0.1955607705094358,0.0227,1.2,HV,1.2,6.4,0.5396,0.2105016133746495,0.5739444005844505,53787.43
sn2002es-20020906.49-fast.flm,29.57,2002es,5.098231827107124,0.2946954813359528,0.018,,91bg,,12.5,2.8355,7.401768172892876,2.8507728209592273,52523.49
sn2004at-20040330.22-fast.flm,79.89,2004at,2.171573901986857,0.7825491538687275,0.0223,1.05,N,1.05,-0.45,0.6821,-2.621573901986858,1.0380961363094756,53094.22
sn2003ar-20030222.51-fast.flm,23.32,2003ar,,,0.0252,,,,16.5,2.4239,,,52692.51
sn1994D-19940317.35-fast.flm,304.4,1994D,-4.137999800579775,0.0997108385681523,0.0029,1.37,N,1.37,-2.4,0.7707,1.7379998005797748,0.7771233758728173,49428.35
sn1996bl-19961018.18-fast.flm,36.38,1996bl,-2.2393822393819582,0.2895752895752895,0.036,1.07,HV,1.07,0.3,0.7636,2.539382239381958,0.8166632159786632,50374.18
sn2005cf-20050707.18-fast.flm,110.4,2005cf,24.321907600599307,0.1987083954297069,0.0065,1.1,N,1.1,23.0,1.6351,-1.321907600599307,1.647129939140883,53558.18
sn2007cp-20070615.18-fast.flm,14.77,2007cp,,,0.0366,,,,-3.1,1.1668,,,54266.18
sn2004at-20040320.42-fast.flm,29.05,2004at,-7.4146532329079005,0.7825491538687275,0.0223,1.05,N,1.05,-3.3,0.9611,4.114653232907901,1.239393556631896,53084.42
sn2003fd-20030623.22-fast.flm,18.04,2003fd,,,0.0597,,,,7.6,0.392,,,52813.22
sn2002eu-20020903.46-fast.flm,21.81,2002eu,1.1179645335352897,0.1927525057825751,0.0376,1.52,N,1.52,-1.75,1.2304,-2.8679645335352895,1.2454066357963014,52520.46
sn2001cp-20010624.40-fast.flm,66.45,2001cp,-3.912363067292645,0.0978090766823161,0.0224,0.88,N,0.88,-1.05,0.6474,2.862363067292645,0.6547468025744358,52084.4
sn2007qe-20071115.28-fast.flm,40.77,2007qe,-9.395448774296922,0.0,0.0239,1.03,,1.03,-6.66,0.8576,2.7354487742969216,0.8576,54419.28
sn2002kf-20030129.28-mmt.flm,44.87,2002kf,29.51044834690645,0.0981065437064652,0.0193,1.2,,1.2,28.0,1.2981,-1.5104483469064505,1.3018020217828934,52668.28
sn2005hf-20051106.34-fast.flm,59.13,2005hf,17.77394305435107,0.4793404275716614,0.0431,1.31,,1.31,7.4,1.6439,-10.373943054351068,1.7123593242963298,53680.34
sn1999cp-19990620.28-fast.flm,42.66,1999cp,-13.790370517137164,0.0990687537150782,0.0094,0.98,,0.98,-4.2,1.1058,9.590370517137163,1.1102289214223608,51349.28
sn1996X-19960521.22-fast.flm,76.88,1996X,32.89630512515159,0.2979737783075089,0.0068,1.26,N,1.26,34.08,0.9924,1.1836948748484062,1.03616896911597,50224.22
sn1997do-19971107.51-fast.flm,161.13,1997do,-6.5241065241030665,0.099000099000099,0.0101,0.94,HV,0.94,-1.35,0.6996,5.174106524103067,0.7065700104038024,50759.51
sn2006lf-20061216.30-fast.flm,8.52,2006lf,39.77497039084377,0.1973943939992104,0.0132,1.3,N,1.3,44.3,1.3644,4.525029609156228,1.378605058304341,54085.3
sn2003fa-20030610.34-mmt.flm,204.9,2003fa,-5.632449058055154,0.4805843906189927,0.0404,0.8,91T,0.8,-5.7,0.5221,-0.0675509419448463,0.709612405829146,52800.34
sn1998bu-19980624.17-fast.flm,228.29,1998bu,35.3674344401248,0.4985541928407618,0.0029,1.03,N,1.03,37.725,0.7378,2.357565559875198,0.8904522015240928,50988.17
sn2002dj-20020619.18-fast.flm,88.71,2002dj,-6.360844149408752,0.1981571386109184,0.0093,1.19,HV,1.19,-1.7,0.526,4.660844149408752,0.5620874056429896,52444.18
sn2004ef-20041020.15-fast.flm,9.5,2004ef,33.41416100873363,0.1939864209505334,0.031,1.39,HV,1.39,34.6,0.8695,1.1858389912663725,0.8908765242799911,53298.15
sn1998bu-19980617.14-fast.flm,154.2,1998bu,28.357762488784857,0.4985541928407618,0.0029,1.03,N,1.03,32.9,1.0787,4.542237511215141,1.1883391658946123,50981.14
