filename,true_age,z_true,logz,logzerr,ncall,eff,chi2,ndof,age_fit,age_err,age_median,age_q16,age_q84,x1_mean,x1_std,x1_median,x1_q16,x1_q84,c_mean,c_std,c_median,c_q16,c_q84,failed,x0_mean,x0_std,x0_median,filename_norm,Filename,SNR,SN_Name,Age_(days),Age_Unc_(days),redshift,Dm15,Subtype,dm15,bootstrap_age,snid_std_dev,delta_age,delta_age_unc,MJD,true_age_err
sn2001en-20011018.35-fast.flm,8.313656040925904,0.0164,-29013.412508662925,0.2572179528844045,[1 2 2 ... 1 1 1],4.559534686782698,58011.6556722707,2545,8.004411062197182,0.0119609295197515,8.005081199693265,7.992135757290917,8.016464906432219,0.181357338254101,3.502326230822414,0.4163404933560639,-4.117857348872765,4.0884275853715195,-0.0460540884685972,0.876589850126396,-0.0754619194445014,-1.0714605122180547,1.008710651722782,False,0.0165606185715782,1.1612792240419489e-05,0.0165608688416947,sn2001en-20011018.35-fast.flm,sn2001en-20011018.35-fast.flm,120.58,2001en,8.313656040925904,1.180637544273908,0.0164,1.12,HV,1.12,7.35,0.2559,-0.9636560409259048,1.208052077084893,52200.35,1.180637544273908
sn2002he-20021113.53-fast.flm,5.592426312703422,0.0246,-4949.600716505795,0.2386037936026571,[1 1 4 ... 1 1 1],4.8729652006437485,9886.029884094562,2545,5.289172784205005,0.0518854696505423,5.290867349114237,5.236502536118657,5.340193456308349,-0.0032128120060753,3.318484279117258,-0.0362846076163103,-3.875647932885638,3.751139227424888,-0.0093562076304639,0.8610437276641708,-0.0478909537416145,-1.0493427428070103,1.0016086239052342,False,0.0046441980104348,9.868855155382876e-06,0.0046439020738758,sn2002he-20021113.53-fast.flm,sn2002he-20021113.53-fast.flm,50.44,2002he,5.592426312703422,0.1951981260979894,0.0246,1.44,HV,1.44,5.6,0.531,0.0075736872965777,0.565741379458995,52591.53,0.1951981260979894
sn2002fk-20021008.40-fast.flm,7.444168734491314,0.0075,-68363.70117366743,0.2735036413540733,[2 1 1 ... 1 1 1],4.453159214874388,136710.29017700278,2545,5.289007809585823,0.0077935565237089,5.289020203956554,5.281368015338074,5.297018123575029,0.00542938420194,3.4713918967119657,-0.0350796037641423,-4.059403642600476,4.036164016162624,0.0605768789251567,0.8806309835218399,0.0830924566297812,-1.0041289518405363,1.1129369049040545,False,0.0693858381679851,2.3183661711283852e-05,0.0693849728702356,sn2002fk-20021008.40-fast.flm,sn2002fk-20021008.40-fast.flm,221.33,2002fk,7.444168734491314,0.3970223325062034,0.0075,1.13,N,1.13,5.0,0.4762,-2.4441687344913143,0.6199944939341528,52555.4,0.3970223325062034
sn2006N-20060131.22-fast.flm,5.540767031452844,0.0143,-97484.16238736067,0.2676151205189201,[2 1 1 ... 1 1 1],4.544977872858071,194951.91809761483,2658,5.418654997499832,0.0096813915329116,5.418815148210122,5.4091753017563775,5.428071746127763,-0.0428466457795358,3.585805934853728,0.0028388940986747,-4.198224607501793,4.067552693029512,-0.0242613637842309,0.8876556604064458,-0.0316700097812367,-1.094030194907063,1.0281361001123792,False,0.0198438500709383,7.981840560790951e-06,0.0198440792462894,sn2006n-20060131.22-fast.flm,sn2006N-20060131.22-fast.flm,129.48,2006N,5.540767031452844,0.1971803214039239,0.0143,1.5,N,1.5,5.5,0.5775,-0.0407670314528436,0.6102346508917326,53766.22,0.1971803214039239
sn2005kc-20051130.11-fast.flm,6.70869865037698,0.0151,-54867.41201346133,0.2548046547483511,[1 1 2 ... 1 1 1],4.649505860721673,109719.8869573721,2656,6.67686687208404,0.0186130815393306,6.676829347943567,6.658061168995266,6.695247063428468,0.0920973993287384,3.344853927828612,0.0748203850528481,-3.7652107622327793,4.090380058726735,0.0518589145376483,0.8570722082817811,0.1340359272867981,-0.9620597562191484,0.9988606530372728,False,0.0106727758799573,9.72915319974378e-06,0.0106727271898083,sn2005kc-20051130.11-fast.flm,sn2005kc-20051130.11-fast.flm,76.72,2005kc,6.70869865037698,0.1970249236528421,0.0151,1.24,N,1.24,6.3,0.4291,-0.40869865037698,0.4721711877491131,53704.11,0.1970249236528421
sn2001fe-20011122.48-fast.flm,6.196960726274039,0.0134,-27934.038926629888,0.2524954546851702,[1 1 1 ... 1 1 1],4.849193018330534,55853.39689192388,2545,4.58209477569505,0.0294666505313879,4.583159365947786,4.550537670893739,4.611702511215157,-0.0531975516636992,3.4746804066379617,-0.0164736455142033,-4.336464209275433,3.99724607289109,-0.0060174159459325,0.8718946488909541,-0.0226355214430417,-1.0233079020885971,1.018705992081988,False,0.0198591565302026,2.209366741579952e-05,0.019859977693451,sn2001fe-20011122.48-fast.flm,sn2001fe-20011122.48-fast.flm,139.06,2001fe,6.196960726274039,0.0986777185711466,0.0134,1.0,N,1.0,5.85,0.5332,-0.3469607262740393,0.5422541213696825,52235.48,0.0986777185711466
sn1994M-19940509.23-fast.flm,6.577404222051603,0.0232,-2313.3726582048116,0.2386006419980872,[3 1 1 ... 1 1 1],5.135089780164457,4613.629486712716,2668,5.691175811966577,0.0598317523175442,5.690031299767092,5.6363869903608546,5.751462774375824,0.0771437150693709,3.50685149343429,0.1450975778604668,-4.016311310246817,4.10986745552366,0.0371098361450408,0.863078782881568,0.0814808624824207,-1.0430590033529694,1.019825659304379,False,0.0037784521314802,9.263799686702168e-06,0.0037779374953758,sn1994m-19940509.23-fast.flm,sn1994M-19940509.23-fast.flm,25.38,1994M,6.577404222051603,0.8795934323690382,0.0232,1.26,HV,1.26,5.55,0.615,-1.0274042220516035,1.0732705186795852,49481.23,0.8795934323690382
sn2007nq-20071031.24-fast.flm,6.354066985645376,0.045,-3566.6366089592343,0.245679857384449,[1 1 1 ... 1 1 1],4.825366491488345,7119.3454147561915,2661,5.91887217765809,0.039147931865098,5.918681374747933,5.87778748144251,5.959070368151977,0.2269605911006217,3.4432166191403306,0.1706005316084038,-4.001464203515805,4.254725798025117,0.046077971224442,0.8658347882918994,0.0456888751892596,-1.0077336881025232,1.0958633629930086,False,0.0030350989999914,5.573233254977626e-06,0.0030352565548723,sn2007nq-20071031.24-fast.flm,sn2007nq-20071031.24-fast.flm,34.9,2007nq,6.354066985645376,0.4784688995215311,0.045,1.47,N,1.47,6.2,0.3685,-0.1540669856453762,0.6039244471035636,54404.24,0.4784688995215311
sn2007au-20070320.20-fast.flm,-4.7058823529440295,0.02,-28182.779568065627,0.2377053790732717,[1 1 1 ... 1 1 1],4.877337996079055,56352.48151694685,2661,-8.574582145386211,0.0461086500237399,-8.573270956266,-8.620008253083952,-8.529360294765247,-0.0023871192664257,3.4735396812221464,0.164859241913323,-4.386114964315707,4.038653715806946,-0.046977121533846,0.8491689407676501,-0.0878780139107824,-1.048916530384834,0.9334587517828018,False,0.0062380991268273,4.800200053401808e-05,0.0062388757326105,sn2007au-20070320.20-fast.flm,sn2007au-20070320.20-fast.flm,47.91,2007au,-4.7058823529440295,0.392156862745098,0.02,1.69,N,1.69,-1.0,0.6001,3.7058823529440295,0.7168730815130929,54179.2,0.392156862745098
sn2001ay-20010424.32-fast.flm,1.2813046010480575,0.0302,-11838.827981414492,0.237587415805288,[1 3 1 ... 1 1 1],4.986255137312539,23664.604704796584,2545,-3.502474271096321,0.0693351368560875,-3.5012575688873646,-3.5687481808993695,-3.431580037215546,-0.2031516296800375,3.3605076583639297,-0.3184130966074274,-4.15903896431124,3.6019667782024865,-0.0152358790647359,0.879336928331963,0.0453424847243413,-1.0973001211164497,1.034442380981183,False,0.0037127920321525,8.326836862906477e-06,0.0037124519210172,sn2001ay-20010424.32-fast.flm,sn2001ay-20010424.32-fast.flm,38.22,2001ay,1.2813046010480575,0.7765482430596001,0.0302,0.68,HV,0.68,-0.1,1.7153,-1.3813046010480576,1.882891729175884,52023.32,0.7765482430596001
