filename,true_age,z_true,full_logz,full_logzerr,full_ncall,full_eff,full_chi2,full_ndof,full_age,full_age_err,full_t0_mean,full_t0_std,full_t0_median,full_x1_mean,full_x1_std,full_x1_median,full_x1_q16,full_x1_q84,full_c_mean,full_c_std,full_c_median,full_c_q16,full_c_q84,full_x0_mean,full_x0_std,full_x0_median,full_log10_x0_mean,full_log10_x0_std,nuis_logz,nuis_logzerr,nuis_ncall,nuis_eff,nuis_chi2,nuis_ndof,nuis_age,nuis_age_err,nuis_t0_mean,nuis_t0_std,nuis_t0_median,nuis_x1_mean,nuis_x1_std,nuis_x1_median,nuis_x1_q16,nuis_x1_q84,nuis_c_mean,nuis_c_std,nuis_c_median,nuis_c_q16,nuis_c_q84,nuis_x0_mean,nuis_x0_std,nuis_x0_median,filename_norm,Filename,SNR,SN_Name,Age_(days),Age_Unc_(days),redshift,Dm15,Subtype,dm15,bootstrap_age,snid_std_dev,delta_age,delta_age_unc
sn1993ac-19931016.49-mmt.flm,7.290000000000873,0.0503,-6500.055683598445,0.5684226154365734,[1 1 2 ... 1 1 1],3.0529150989865537,12948.614727604268,2306,6.179731893251286,0.0694113098811722,-6.179731893251286,0.0694113098811722,-6.182546039513582,-0.97217402079315,0.0484958803022317,-0.9731696397251371,-1.0181539876834265,-0.9177410137823364,-0.0368395673512056,0.0022380975963828,-0.0367476871550735,-0.0390630426541389,-0.0347062016763937,0.0010611043188864,5.29743887801908e-06,0.0010612894877143,-2.9742473295408085,0.0021680462187945,-6491.474844158077,0.4647232891984482,[1 1 1 ... 1 1 1],3.837163640443555,12948.598507792292,2307,6.1747314010596,0.07146685453156,-6.1747314010596,0.07146685453156,-6.170311493496548,-0.9789113326526572,0.0485206719093056,-0.9798858385818888,-1.0261917830999288,-0.930614261536455,-0.036812171322201,0.0022645411246633,-0.0369620160942147,-0.0389375407308993,-0.0343023730792548,0.0010611950898804,5.172774153187876e-06,0.0010612380149972,sn1993ac-19931016.49-mmt.flm,sn1993ac-19931016.49-mmt.flm,27.2,1993ac,6.940874035990548,1.1425307055127103,0.0503,1.19,HV,1.19,5.4,1.126,-1.540874035990548,1.604136033208958
sn1994ae-19941129.51-fast.flm,0.0100000000020372,0.0043,-5480808.18310578,0.7256418229523964,[1 1 1 ... 1 1 1],2.891936947664502,10961535.168780671,2383,0.1434489412731068,0.0058190664461794,-0.1434489412731068,0.0058190664461794,-0.1434786787221753,4.036899143055997,0.0044909567380862,4.036625110457644,4.032349725984394,4.041361858808976,1.4590691596374965,0.000170217122587,1.459071119640567,1.458895073659,1.4592305299654895,0.0099999958734963,4.044134126671472e-09,0.0099999971628351,-2.000000179211848,1.756346459761935e-07,-54884.217292337824,0.5297435076691719,[1 1 1 ... 1 1 1],3.670483737536465,109724.57861993992,2384,0.9793615430131754,0.0242398818043586,-0.9793615430131754,0.0242398818043586,-0.9786773247755108,0.9520941445649737,0.0048818906405327,0.9522858048352631,0.9469708242709204,0.956620326881458,-0.0436947118151546,0.0004288993774244,-0.0436975309203218,-0.0441170712281018,-0.0432616289482488,0.0800326284205266,3.113280939202082e-05,0.080034702140782,sn1994ae-19941129.51-fast.flm,sn1994ae-19941129.51-fast.flm,262.37,1994ae,0.0099571841103627,0.7965747286667331,0.0043,0.96,N,0.96,0.25,1.1488,0.2400428158896373,1.397953052985142
sn1994ae-19941130.49-fast.flm,0.9899999999979628,0.0043,-7344412.017745479,0.7971349949263559,[1 1 1 ... 1 1 1],2.836048404657963,14688725.229186716,2384,0.6204272740747298,0.0044609670702139,-0.6204272740747298,0.0044609670702139,-0.6202507648642737,3.4791869800321327,0.0045449457880205,3.479186768850653,3.4748459218510157,3.4838570857752664,1.4999997265416525,2.7838094635004465e-07,1.499999813767576,1.4999995100666204,1.499999958412578,0.0099999981408907,1.923123659036865e-09,0.0099999986880303,-2.0000000807401044,8.352023155059096e-08,-66557.79884508508,0.5483693262743343,[1 1 1 ... 1 1 1],3.684689906433717,133068.95611617048,2385,1.807035111154192,0.013767151687722,-1.807035111154192,0.013767151687722,-1.806895441585468,0.9332499770791904,0.0039111025622038,0.9331474547813484,0.9296508122397282,0.9368730741853586,-0.0238889486529594,0.00032112676681,-0.0238784234452646,-0.0242152505117208,-0.0235646706709102,0.0967619861367837,3.527073408859895e-05,0.0967617093887065,sn1994ae-19941130.49-fast.flm,sn1994ae-19941130.49-fast.flm,276.51,1994ae,0.9857612267230536,0.7965747286667331,0.0043,0.96,N,0.96,0.95,1.1845,-0.0357612267230535,1.4274353044360644
sn1994ae-19941201.50-fast.flm,2.0,0.0043,-10162651.38235903,0.8223220433538687,[1 1 1 ... 1 1 1],2.8411844219439413,20325201.32350269,2387,0.8840954232545505,0.0033363978224541,-0.8840954232545505,0.0033363978224541,-0.8842750285154253,2.622787780646947,0.004663550179551,2.6228654177350936,2.618301710026275,2.6274926381840977,1.4999998757871291,1.2093506414838414e-07,1.499999912406868,1.499999772584149,1.4999999753820008,0.0099999987674266,1.196255400154504e-09,0.0099999991100839,-2.000000053529986,5.19527239844625e-08,-92512.37495858825,0.5566738282360187,[1 1 1 ... 1 1 1],3.6613272311212817,184976.7555810572,2388,2.390651009686394,0.0096606760656817,-2.390651009686394,0.0096606760656817,-2.3901963843214844,0.7851043133393382,0.0035526348865905,0.7850085455278659,0.7813662458730803,0.78886211040944,-0.049646203688922,0.0002717422541302,-0.0496458308481895,-0.0499048718808026,-0.0493693261544367,0.1182569812018477,3.979475927497703e-05,0.1182554917819146,sn1994ae-19941201.50-fast.flm,sn1994ae-19941201.50-fast.flm,289.67,1994ae,1.9914368216668328,0.7965747286667331,0.0043,0.96,N,0.96,1.35,1.0217,-0.6414368216668327,1.2955316238326564
sn1994ae-19941202.53-fast.flm,3.029999999998836,0.0043,-1969439.8524992503,0.7185452531754042,[1 1 2 ... 1 1 1],2.906193314330137,3938798.910099925,2383,0.3167627132887229,0.0074551549627974,-0.3167627132887229,0.0074551549627974,-0.3165151306742508,2.76739255867069,0.0063668877582357,2.76781236431105,2.7604904014135,2.7738156679390187,1.0614106467899964,0.0002394734646671,1.0614002145078536,1.061181000999388,1.0616525747864165,0.0099999929165846,7.221738194074883e-09,0.0099999952458929,-2.000000307629044,3.136365568354479e-07,-29649.68745693198,0.5352699085141632,[1 1 1 ... 1 1 1],3.7035971223021584,59254.67354562803,2384,2.4600091185873048,0.0148718287783195,-2.4600091185873048,0.0148718287783195,-2.4602171637156545,0.4591867544925938,0.006324061430996,0.4590500384750164,0.4530163759105683,0.4655632494036519,-0.0556650316000078,0.0004514579193723,-0.0556795470394209,-0.0561182311003989,-0.0551917043186298,0.045339430541178,2.441774805116796e-05,0.0453403400418298,sn1994ae-19941202.53-fast.flm,sn1994ae-19941202.53-fast.flm,168.51,1994ae,3.0170267848240924,0.7965747286667331,0.0043,0.96,N,0.96,2.75,1.0508,-0.2670267848240923,1.318602266929069
sn1994ae-19941203.54-fast.flm,4.040000000000873,0.0043,-2809460.4062417643,0.7315255806233139,[1 1 1 ... 1 1 1],2.9095683361086206,5618838.721930536,2370,0.4004365978431666,0.006847198140319,-0.4004365978431666,0.006847198140319,-0.4001965932505058,2.8623673188052208,0.0054230085819754,2.8623602044700114,2.8569055886846204,2.8677075653883217,1.215737030608826,0.0001908310665708,1.21573620391605,1.2155542142737925,1.2159299148414249,0.0099999943446151,5.655162121344373e-09,0.0099999959318198,-2.0000002456103805,2.456008463005513e-07,-40138.35413280765,0.551756295529738,[1 1 1 ... 1 1 1],3.6722281804482697,80229.36655784387,2371,2.879547680930429,0.0140069625836044,-2.879547680930429,0.0140069625836044,-2.878945187026659,0.3731472271340502,0.0055680010274451,0.3733856780430056,0.367132662324295,0.3789032449936211,-0.0079679565966002,0.0004221322720982,-0.0079769791296071,-0.0083660754308141,-0.0075483991097324,0.0535077433161858,3.118831765983118e-05,0.053504965773708,sn1994ae-19941203.54-fast.flm,sn1994ae-19941203.54-fast.flm,206.48,1994ae,4.022702379767871,0.7965747286667331,0.0043,0.96,N,0.96,3.3,0.6579,-0.7227023797678713,1.03313295773123
sn1994ae-19941204.53-fast.flm,5.029999999998836,0.0043,-2373419.806602819,0.7159718557051676,[1 2 1 ... 1 1 1],2.9103097246454763,4746759.629453052,2372,0.4043746142747215,0.0076779869647002,-0.4043746142747215,0.0076779869647002,-0.4046427393401046,2.713426632716231,0.0061313294624882,2.71354777822691,2.706765907925014,2.7198604469820227,1.124972542613914,0.0002250957401482,1.1249629349118877,1.1247490176768895,1.1252201076204449,0.0099999935103664,6.581431415005498e-09,0.0099999957278608,-2.00000028184139,2.858283121761044e-07,-37051.89479485808,0.5341690532077941,[1 1 1 ... 1 1 1],3.67226819073616,74058.88017265289,2373,3.79947115363312,0.0153299372451145,-3.79947115363312,0.0153299372451145,-3.799339539072278,0.3152097441270952,0.0062868697686911,0.3150062713138108,0.3089578087023599,0.321383824261412,-0.0388630327732823,0.0004813399586643,-0.0388892306187598,-0.0393482998558891,-0.0383679009701594,0.0501819995282253,3.648299454436949e-05,0.0501844424078222,sn1994ae-19941204.53-fast.flm,sn1994ae-19941204.53-fast.flm,188.75,1994ae,5.008463606490925,0.7965747286667331,0.0043,0.96,N,0.96,4.405,0.4599,-0.6034636064909247,0.9198039510409156
sn1994ae-19941207.47-fast.flm,7.970000000001164,0.0043,-4030423.5858650575,0.7441462276951771,[1 1 1 ... 1 1 1],2.864627860963873,8060762.146712913,2371,0.3653593254272322,0.0059913360494918,-0.3653593254272322,0.0059913360494918,-0.3656444023346381,3.130443586665287,0.0046085886704306,3.1304025769746247,3.1261822762207743,3.1351217393338704,1.341396919131376,0.0001798859683791,1.3413872074957776,1.3412194723098052,1.3415806213189274,0.0099999950631581,4.9139155098368415e-09,0.0099999962881185,-2.0000002144044213,2.1340885457636976e-07,-64672.9943623989,0.5446348681731803,[1 1 1 ... 1 1 1],3.6259095723462496,129300.03465981696,2372,7.095215793316053,0.0105138538029973,-7.095215793316053,0.0105138538029973,-7.095042115970824,0.4023730717041467,0.0063066797692588,0.4021925330983791,0.395975372717649,0.4084681155798932,-0.0373111797241163,0.0003386313989386,-0.0373252327096709,-0.0376533755483694,-0.0369729344557441,0.0784997724954101,4.182106373905979e-05,0.0784970851394277,sn1994ae-19941207.47-fast.flm,sn1994ae-19941207.47-fast.flm,228.81,1994ae,7.935875734343488,0.7965747286667331,0.0043,0.96,N,0.96,7.65,0.3215,-0.2858757343434872,0.8590073040146279
sn1994ae-19941207.55-mmt.flm,8.05000000000291,0.0043,-45814.97430367572,0.6121809576462803,[1 1 1 ... 1 1 1],3.021634185589129,91570.98449681842,2310,5.505843402941074,0.0455787789827712,-5.505843402941074,0.0455787789827712,-5.508366886324751,3.864990072968027,0.0622035070555129,3.86234163445628,3.806841525772892,3.9303493544799535,1.2667437019207064,0.0018753845155549,1.2667824205507756,1.2648343107838524,1.268618212511008,0.0099991487965686,8.255836919105716e-07,0.009999374497873,-2.0000369703492167,3.586077746827571e-05,-1742.109510933308,0.458356835274653,[1 1 1 ... 1 1 1],3.804193150554976,3450.8344692121145,2311,7.985149103639418,0.0746997485105134,-7.985149103639418,0.0746997485105134,-7.983510046456232,0.0423285415593829,0.0444540354166177,0.0480829689005037,-0.0058847112794353,0.086302017603435,-0.1908987652331093,0.0028531617868809,-0.190880757280671,-0.1937295397989185,-0.1879398804365459,0.128300760611247,0.0007672603090696,0.1283102561429241,sn1994ae-19941207.55-mmt.flm,sn1994ae-19941207.55-mmt.flm,202.31,1994ae,8.015533207211899,0.7965747286667331,0.0043,0.96,N,0.96,6.95,0.6876,-1.0655332072118986,1.0522951384238546
sn1994ae-19941208.55-fast.flm,9.05000000000291,0.0043,-4926571.983455714,0.7324925930580138,[1 1 1 ... 1 1 1],2.902048835251193,9853059.699595531,2370,0.2162194035663296,0.005680391920681,-0.2162194035663296,0.005680391920681,-0.2159177965186955,3.269357872003901,0.0044633563549747,3.269059883970725,3.264872338987088,3.273838774960943,1.4023630336055306,0.0001591820330358,1.4023574252661852,1.4022112722629467,1.4025325377175553,0.0099999957676601,4.302587220412052e-09,0.0099999971465383,-2.0000001838082624,1.868591523926553e-07,-73766.28239466573,0.5501763513045768,[1 1 1 ... 1 1 1],3.6478770329878496,147485.43160966202,2371,9.58511852760575,0.0096897417849776,-9.58511852760575,0.0096897417849776,-9.584908415656656,1.2927888053025531,0.0060600901440073,1.2928488974927896,1.2867688058190816,1.299035678303535,-0.0210005117932945,0.0004189883753026,-0.0209737195039662,-0.0214407918059391,-0.020572622372998,0.0946207396343413,4.339394923835566e-05,0.0946196669090898,sn1994ae-19941208.55-fast.flm,sn1994ae-19941208.55-fast.flm,234.13,1994ae,9.011251618045316,0.7965747286667331,0.0043,0.96,N,0.96,8.95,0.4312,-0.0612516180453166,0.9057950862918608
