age_bin,bias,spread,rmse,mad,coverage_1sigma,coverage_2sigma,chi2_red,count,Method,bin_center
"(9, 11]",-4.678067753980809,4.793427617473355,6.668216549673819,2.260533934879222,0.0,0.017241379310344827,1021841.5503621288,58.0,Full Bayesian,10.0
"(11, 13]",-3.958928983018649,5.172700545744419,6.468025462651543,3.1801179389832157,0.0,0.022222222222222223,950799.0801155964,45.0,Full Bayesian,12.0
"(13, 15]",-4.826278794935956,6.599164899066197,8.092035518264701,4.072925514071079,0.0,0.0,973851.3135799663,32.0,Full Bayesian,14.0
"(15, 17]",-5.278520024993811,8.273654077272749,9.724243481945603,4.123824801734106,0.0,0.0,707042.0802596023,39.0,Full Bayesian,16.0
"(17, 19]",-3.5300467928517003,5.933248747031669,6.8238232342421625,2.963580332135624,0.0,0.0,683495.7233346236,32.0,Full Bayesian,18.0
"(19, 21]",-7.721495814166635,6.635588561012575,10.08653262073685,9.454629474869265,0.0,0.0,1729917.9117121894,23.0,Full Bayesian,20.0
"(21, 23]",-6.5393606379049505,7.47771229634389,9.776142604784892,6.707996141444175,0.05555555555555555,0.05555555555555555,749339.714417157,18.0,Full Bayesian,22.0
"(23, 25]",-3.895715105187901,6.568752384566648,7.494509902325281,4.8841367157849245,0.0,0.0,523904.11008234683,20.0,Full Bayesian,24.0
"(-15, -13]",-6.5599864504088075,,6.5599864504088075,6.5599864504088075,0.0,0.0,221415524411.3214,1.0,Nuisance Bayesian,-14.0
"(-13, -11]",-1.459205849585568,4.6805226574785195,4.712851192541204,4.4014221636018735,0.0,0.0,4868472.226422343,12.0,Nuisance Bayesian,-12.0
"(-11, -9]",-0.9907204067809746,3.0804357892577934,3.1766410231694318,3.0624741497877146,0.0,0.0,9509.895031940601,25.0,Nuisance Bayesian,-10.0
"(-9, -7]",-1.2710220352818906,2.749437368621603,3.002901136633634,2.3243747621292723,0.020833333333333332,0.020833333333333332,7260.566090945002,48.0,Nuisance Bayesian,-8.0
"(-7, -5]",-1.101048458414673,2.0928136020426757,2.346549957024458,1.6999375142433877,0.0,0.0,12291.758403030093,51.0,Nuisance Bayesian,-6.0
"(-5, -3]",-1.357800183958655,2.103374666747603,2.4901351815482062,0.9945812437110664,0.0,0.030303030303030304,10063.930571425122,66.0,Nuisance Bayesian,-4.0
"(-3, -1]",-1.4583056087765212,2.4038388747697814,2.7968817319476935,1.4941302114231296,0.014285714285714285,0.014285714285714285,13356.874166776479,70.0,Nuisance Bayesian,-2.0
"(-1, 1]",-0.895199041084546,2.640007452620749,2.7715819169586404,1.7985970152318949,0.02564102564102564,0.038461538461538464,27441.65643025699,78.0,Nuisance Bayesian,0.0
"(1, 3]",-1.8079239269760192,3.0840463366118898,3.559753826107049,1.7327005666589779,0.022727272727272728,0.045454545454545456,35696.59978012722,88.0,Nuisance Bayesian,2.0
"(3, 5]",-2.0478908966522824,3.0462266442741712,3.656214581498853,1.1329161288579563,0.0,0.0,26398.45460531587,88.0,Nuisance Bayesian,4.0
"(5, 7]",-1.921274307480691,3.41519028152918,3.900765071059835,1.2078943727881777,0.011904761904761904,0.011904761904761904,7850.789912024729,84.0,Nuisance Bayesian,6.0
"(7, 9]",-1.685968252383204,3.647090104440374,3.991142521365993,1.0030840957936542,0.03225806451612903,0.04838709677419355,9966.085745399305,62.0,Nuisance Bayesian,8.0
"(9, 11]",-1.5895241300850322,3.562783545122921,3.873133275133375,0.9812380511664172,0.0,0.034482758620689655,14723.96788569348,58.0,Nuisance Bayesian,10.0
"(11, 13]",-0.2192689285349112,2.4822603231666953,2.4642991636682146,1.356501132363114,0.0,0.022222222222222223,20426.5359666497,45.0,Nuisance Bayesian,12.0
"(13, 15]",-0.24493792308614576,3.330671766273308,3.2873547192778108,1.2055991771005887,0.0,0.03125,9634.212306015092,32.0,Nuisance Bayesian,14.0
"(15, 17]",-1.2440533983238733,6.110195812338419,6.158316899457995,1.8093120532250353,0.0,0.0,17748.933218643622,39.0,Nuisance Bayesian,16.0
"(17, 19]",-0.3009707993432197,2.4706052352897236,2.4502504119075783,2.0436865360162297,0.0,0.0,10289.423372454634,32.0,Nuisance Bayesian,18.0
"(19, 21]",-1.0785158683261593,2.619150528018125,2.779368146402972,1.82238006772792,0.0,0.0,33882.10726553312,23.0,Nuisance Bayesian,20.0
"(21, 23]",-2.602810434402448,5.383418233996146,5.84343630271461,2.937081626000042,0.05555555555555555,0.05555555555555555,25206.03972494579,18.0,Nuisance Bayesian,22.0
"(23, 25]",0.022286993066558125,4.135365764782094,4.030717581047469,2.106490079910511,0.0,0.0,11471.27471443967,20.0,Nuisance Bayesian,24.0
"(-15, -13]",12.274999999995053,,12.274999999995053,12.274999999995053,0.0,0.0,110.75108246367434,1.0,SNID (Bootstrap),-14.0
"(-13, -11]",7.384583333331829,3.385516919260216,8.06465449249396,7.1799999999973805,0.0,0.0,66.1970259998548,12.0,SNID (Bootstrap),-12.0
"(-11, -9]",6.054799999999187,2.75764259226457,6.630310098328352,5.84999999999709,0.0,0.04,54.021443421617256,25.0,SNID (Bootstrap),-10.0
"(-9, -7]",5.188958333332909,2.766156208250438,5.866642992376327,5.520000000001164,0.08333333333333333,0.22916666666666666,32.90942583762011,48.0,SNID (Bootstrap),-8.0
"(-7, -5]",2.7394117647059164,2.265648173715617,3.540746847106745,2.6899999999994177,0.21568627450980393,0.47058823529411764,15.607608947434807,51.0,SNID (Bootstrap),-6.0
"(-5, -3]",0.999242424242477,1.98564565016517,2.209419572758001,1.7700000000004366,0.30303030303030304,0.5909090909090909,6.436070754934948,66.0,SNID (Bootstrap),-4.0
"(-3, -1]",0.10528571428568101,2.0634096387955787,2.0513216993650905,1.0500000000007275,0.44285714285714284,0.7142857142857143,4.522334011352305,70.0,SNID (Bootstrap),-2.0
"(-1, 1]",-0.3335256410261709,2.018711995979439,2.033271095096485,1.1050000000010187,0.44871794871794873,0.6666666666666666,5.429894626412539,78.0,SNID (Bootstrap),0.0
"(1, 3]",-1.322329545454357,2.0327379402740147,2.4152896612469785,1.615000000003056,0.26136363636363635,0.5681818181818182,6.130847280522687,88.0,SNID (Bootstrap),2.0
"(3, 5]",-1.4032954545455107,1.8821925473415775,2.3391514584259827,1.5950000000004365,0.3068181818181818,0.6363636363636364,5.652807880371996,88.0,SNID (Bootstrap),4.0
"(5, 7]",-1.0797619047616518,1.9862127042398396,2.2503248442751578,0.7649999999994179,0.3333333333333333,0.6071428571428571,9.830752046946932,84.0,SNID (Bootstrap),6.0
"(7, 9]",-0.6150000000001595,1.0020196817551297,1.168791766547941,0.7950000000018917,0.22580645161290322,0.5645161290322581,7.42364250393065,62.0,SNID (Bootstrap),8.0
"(9, 11]",-0.8490086206904381,0.7390258434543052,1.1214090678319215,1.0400000000008731,0.1206896551724138,0.3275862068965517,10.516514179183403,58.0,SNID (Bootstrap),10.0
"(11, 13]",0.41466666666581964,3.6946494482506775,3.6768247170627664,1.1800000000002928,0.13333333333333333,0.3333333333333333,18.077461533219747,45.0,SNID (Bootstrap),12.0
"(13, 15]",0.5118749999995633,4.223528900217562,4.1884088565951405,1.1249999999992735,0.21875,0.375,18.283231239129538,32.0,SNID (Bootstrap),14.0
"(15, 17]",0.026282051281834803,3.0698385689489034,3.0303400630021584,1.4400000000023283,0.20512820512820512,0.5384615384615384,11.057998702785413,39.0,SNID (Bootstrap),16.0
"(17, 19]",-0.031718750000163665,2.3356979371983235,2.2991317994520912,1.2450000000011627,0.375,0.53125,7.552822196872257,32.0,SNID (Bootstrap),18.0
"(19, 21]",-0.05434782608707144,2.5141184540087207,2.459456903640804,1.7600000000064036,0.2608695652173913,0.4782608695652174,5.8821131888901075,23.0,SNID (Bootstrap),20.0
"(21, 23]",-0.26111111111200064,3.0092795481129886,2.9361274571181863,2.3650000000016007,0.2777777777777778,0.5,9.012560390920148,18.0,SNID (Bootstrap),22.0
"(23, 25]",0.7464999999992141,4.867543447215561,4.8026651455211224,3.6600000000005792,0.2,0.35,11.141530210381962,20.0,SNID (Bootstrap),24.0
