age_bin,bias,spread,rmse,mad,coverage_1sigma,coverage_2sigma,chi2_red,count,Method,bin_center
"(-15, -13]",5.020547649640495,,5.020547649640495,5.020547649640495,0.0,0.0,156129.19388123392,1.0,Full Bayesian,-14.0
"(-13, -11]",3.631381922152604,5.424075661118237,6.336861608394493,5.183891874270543,0.0,0.0,215688.030135864,12.0,Full Bayesian,-12.0
"(-11, -9]",3.964684673876744,5.183963146177196,6.4433888217427615,5.256604679257833,0.0,0.0,306744.8312822976,25.0,Full Bayesian,-10.0
"(-9, -7]",1.4672133044032538,4.309080896855854,4.509329884909727,3.9310201978650268,0.020833333333333332,0.020833333333333332,185485.06401762646,48.0,Full Bayesian,-8.0
"(-7, -5]",0.9525811164147441,3.3576296376332317,3.458328365108176,2.4847321866297856,0.0,0.0,115551.1716062933,51.0,Full Bayesian,-6.0
"(-5, -3]",0.2977689342582634,2.898549825800068,2.8918783854301093,2.188169434069941,0.0,0.030303030303030304,188298.199645488,66.0,Full Bayesian,-4.0
"(-3, -1]",-0.7589786772772935,2.556495717439965,2.6492172931863807,2.166199860406387,0.014285714285714285,0.014285714285714285,118499.95226798323,70.0,Full Bayesian,-2.0
"(-1, 1]",-0.829570160518804,1.9834943741422473,2.1382229728869664,1.3885768421760596,0.02564102564102564,0.038461538461538464,64241.41719556322,78.0,Full Bayesian,0.0
"(1, 3]",-1.79004186395093,2.405889241801283,2.9877712006710997,1.9446132903357194,0.03409090909090909,0.045454545454545456,35640.746252461795,88.0,Full Bayesian,2.0
"(3, 5]",-2.5706483277689087,2.720888421002635,3.7319350165556573,2.6852753188416396,0.0,0.0,72506.7168549687,88.0,Full Bayesian,4.0
"(5, 7]",-3.0023418080763533,3.493223409126943,4.590359131318131,2.074236835124748,0.011904761904761904,0.023809523809523808,141759.7392738501,84.0,Full Bayesian,6.0
"(7, 9]",-3.57760031323219,4.224192475392889,5.509557406110301,1.5827417253858629,0.0,0.016129032258064516,496941.0523493655,62.0,Full Bayesian,8.0
