# Wavelength in nm, Data in W / (nm m2)
#wavelength data
302.1064139633239 -7.208084573305062e-07
302.25450649955036 -7.4327670455937015e-06
302.4025990357768 2.490196319880464e-07
302.55069157200325 -1.0340055526225748e-07
302.69878410822975 2.269523515544668e-08
302.8468766444562 1.2393685672936736e-08
302.99496918068263 1.0560311395036675e-08
303.1430617169091 1.2488967660680557e-08
303.2911542531355 5.814190490229672e-09
303.43924678936196 1.4606401774017825e-09
303.58733932558846 6.136219752173852e-09
303.7354318618149 1.3001821391021149e-08
303.88352439804135 1.1873550853095597e-08
304.0316169342678 2.0949619116261225e-09
304.17970947049423 -4.341045929657284e-09
304.32780200672073 -2.0653095351536983e-09
304.4758945429472 3.0318238667534994e-09
304.6239870791736 4.205091894668162e-09
304.77207961540006 6.821594438507219e-09
304.9201721516265 -2.8243490289082817e-09
305.06826468785295 4.317152935457751e-09
305.21635722407945 7.868550988669136e-09
305.3644497603059 8.939334867513662e-10
305.51254229653233 4.2069925739816115e-10
305.6606348327588 2.492698114101621e-09
305.8087273689852 8.840376955027551e-09
305.95681990521166 5.357290746236503e-09
306.10491244143816 3.273335815394896e-09
306.2530049776646 -2.7545251962573553e-09
306.40109751389105 2.6473378183284457e-09
306.5491900501175 5.170300349258842e-09
306.69728258634393 3.7090732181580584e-09
306.8453751225704 5.632520809789011e-10
306.9934676587969 -4.130774872351905e-09
307.1415601950233 5.357827662113339e-10
307.28965273124976 1.9334168765393678e-09
307.4377452674762 1.951521748805463e-09
307.58583780370265 4.150035542375035e-09
307.73393033992915 1.0328706637766075e-09
307.8820228761556 -1.8422213898691176e-09
308.03011541238203 -7.53133480747268e-10
308.1782079486085 -5.368269126361606e-10
308.3263004848349 2.0956287919054535e-09
308.47439302106136 3.929067549385308e-09
308.62248555728786 3.5413931713224097e-09
308.7705780935143 4.2285945350759115e-10
308.91867062974075 1.051273690330197e-09
309.0667631659672 1.2801091264383053e-09
309.21485570219363 1.7375781783067128e-09
309.3629482384201 -2.033402013683088e-10
309.5110407746466 9.235084043467623e-10
309.659133310873 3.9283685410335074e-09
309.80722584709946 2.7364554937147807e-09
309.9553183833259 2.104475615363518e-09
310.10341091955235 1.0629143163687261e-10
310.2515034557788 2.634601226744795e-09
310.3995959920053 1.7403573632021462e-09
310.54768852823173 1.7735048785591568e-09
310.6957810644582 1.3235586643143116e-09
310.8438736006846 -5.243113910603894e-10
310.99196613691106 2.907980711461095e-10
311.14005867313756 1.3830439328658381e-09
311.288151209364 1.927422798140959e-09
311.43624374559045 7.76808587579801e-10
311.5843362818169 6.171020086466391e-10
311.73242881804333 1.0798218189761053e-10
311.8805213542698 -1.1741773889207207e-10
312.0286138904963 1.0007393977520184e-09
312.1767064267227 5.617925168983277e-10
312.32479896294916 2.3301794806408423e-10
312.4728914991756 9.25949954919235e-10
312.62098403540205 -5.836164380481008e-10
312.7690765716285 1.079889347598552e-09
312.917169107855 9.281792896261668e-10
313.06526164408143 2.1238112936745906e-10
313.2133541803079 7.224359663703477e-10
313.3614467165343 8.822008600226341e-10
313.50953925276076 1.0980963884070485e-09
313.6576317889872 5.2803474635343454e-11
313.8057243252137 -6.36096709640039e-10
313.95381686144015 4.2239895797333045e-10
314.1019093976666 6.232612545046648e-10
314.25000193389303 7.943971390369219e-10
314.3980944701195 1.1274396101650218e-09
314.5461870063459 2.387226660025382e-10
314.6942795425724 3.164037997100247e-10
314.84237207879886 1.6241677871392005e-10
314.9904646150253 7.096150381428878e-10
315.13855715125175 9.377883110798078e-10
315.2866496874782 3.246042454029297e-10
315.4347422237047 -2.0189242246867077e-10
315.58283475993113 1.95256721735924e-11
315.7309272961576 6.959176517512221e-10
315.879019832384 2.1700411475256715e-10
316.02711236861046 -1.355044722266176e-10
316.1752049048369 1.3868552162678125e-10
316.3232974410634 2.357227834952677e-10
316.47138997728985 -2.774546717851715e-10
316.6194825135163 -3.969961554595024e-10
316.76757504974273 -2.7057444273611066e-10
316.9156675859692 1.4221156880899041e-10
317.0637601221956 2.076678911083549e-10
317.2118526584221 -1.0634247512049115e-10
317.35994519464856 1.9056681115719052e-10
317.508037730875 1.648169154692776e-10
317.65613026710145 -1.7074774803906553e-11
317.8042228033279 -4.5667041301822774e-11
317.95231533955433 7.82738245968772e-11
318.10040787578083 1.2716789752036992e-10
318.2485004120073 1.927394218890125e-10
318.3965929482337 5.325077118296727e-10
318.54468548446016 5.807896388136401e-10
318.6927780206866 2.552091783748848e-10
