file,age,age_err
sn1996bv-19970102.33-fast.flm,40.82,0.2
sn1998ab-19980518.22-fast.flm,34.7,0.04
sn1998bp-19980430.47-fast.flm,-3.63,0.03
sn1998bu-19980627.20-fast.flm,39.43,0.02
sn1998cs-19980701.20-fast.flm,-15.48,0.2
