duration,logz,logzerr,age_mean,age_std,x1_mean,x1_std,c_mean,c_std,x0_mean,x0_std,filename,nlive,method,z_mean,z_std
12.912304878234863,-5480806.581431778,1.3962091331094617,0.1427890733339246,0.005505027333542663,4.036098935220399,0.004122592058356863,1.4590490142143235,0.00014999571553773506,0.009999996346880606,3.788254222581458e-09,sn1994ae-19941129.51-fast.flm,20,full,0.0043,0.0
6.953364372253418,-54882.46959861559,0.994573521560336,0.9809526043900351,0.018791744568129196,0.952750180205845,0.003778069839152382,-0.04366194595133851,0.00037859367005933466,0.08003158614430866,2.761531670166309e-05,sn1994ae-19941129.51-fast.flm,20,nuis,0.0043,0.0
31.76103973388672,-5480809.749401642,0.9682241712222953,0.14459872331095852,0.00492036189470108,4.036638227533805,0.004458992661092718,1.4590651547859055,0.00017395872408658221,0.009999996020861315,4.046096160207142e-09,sn1994ae-19941129.51-fast.flm,50,full,0.0043,0.0
17.942193269729614,-54883.65476863671,0.6834159145846548,0.9805987660179046,0.023232717940168596,0.9522129472716027,0.0043591467268595,-0.043713041016772425,0.00041162606379574094,0.08003517742100333,3.012551597529802e-05,sn1994ae-19941129.51-fast.flm,50,nuis,0.0043,0.0
63.14546227455139,-5480809.114521879,0.7302055832369189,0.14402534000797998,0.005550903917912843,4.036600154106451,0.00456260394634701,1.4590604796104323,0.00016838993964355932,0.009999996117211779,3.9107825915159886e-09,sn1994ae-19941129.51-fast.flm,100,full,0.0043,0.0
35.23331570625305,-54884.07517615642,0.530371736550827,0.979109514171274,0.024310355645394188,0.9521710147021015,0.0046353072898534,-0.04369010570226101,0.00041591951859521994,0.08003348350374039,3.0629905153799835e-05,sn1994ae-19941129.51-fast.flm,100,nuis,0.0043,0.0
91.0456817150116,-5480809.205815129,0.6426398813420094,0.14393090095519637,0.0053930719928520525,4.036583664116566,0.0046451790057714,1.4590613949645896,0.00016428287218949055,0.009999995973391377,4.140625041978552e-09,sn1994ae-19941129.51-fast.flm,150,full,0.0043,0.0
56.99118900299072,-54884.818004134,0.47308839638806466,0.9781739420438827,0.025614685511270104,0.9517858692307589,0.004934994877036672,-0.04368837210109378,0.00042904581429447085,0.0800332776272868,3.1508861305398724e-05,sn1994ae-19941129.51-fast.flm,150,nuis,0.0043,0.0
204.26591038703918,-5480809.496637392,0.6003838252376105,0.14365517806207012,0.005614331229766791,4.036793703431249,0.00455914285750318,1.4590661656059842,0.00016769349629868437,0.009999995767834823,4.2254077742075e-09,sn1994ae-19941129.51-fast.flm,200,full,0.0043,0.0
69.05667281150818,-54884.71359333504,0.43873495536964147,0.9783672874412026,0.025146691349629983,0.9519772059969235,0.004901027456759215,-0.04368941080339096,0.0004458086480381088,0.08003337868490208,3.272174770978803e-05,sn1994ae-19941129.51-fast.flm,200,nuis,0.0043,0.0
180.27396416664124,-5480809.670542693,0.5444302936816178,0.14378423480109817,0.005420533326806806,4.036525790903435,0.004436513263014264,1.4590673834605226,0.00016415270967136717,0.009999995985808531,3.9439369073854475e-09,sn1994ae-19941129.51-fast.flm,300,full,0.0043,0.0
103.49412488937378,-54884.38938152277,0.3986354092991538,0.9795415504097511,0.025284321918117126,0.9521662155622147,0.004684346293983177,-0.04370654405431016,0.0004320887932402788,0.08003469510993964,3.17164162650465e-05,sn1994ae-19941129.51-fast.flm,300,nuis,0.0043,0.0
236.1375322341919,-5480809.419149309,0.5217894537892714,0.14350686907710244,0.005459372369422477,4.036716603224224,0.004604371010038421,1.4590623603765924,0.00016686568853862895,0.009999995763362957,4.247077273258779e-09,sn1994ae-19941129.51-fast.flm,400,full,0.0043,0.0
223.12146878242493,-54884.734020511,0.3824758676326044,0.9801887907236143,0.024324338524027645,0.9521457418289898,0.004784008246159289,-0.043710211265180966,0.00042227990391372226,0.08003496906645545,3.098525619286652e-05,sn1994ae-19941129.51-fast.flm,400,nuis,0.0043,0.0
297.55450987815857,-5480809.089010331,0.5041668631293748,0.1436402360256024,0.0053872561329234995,4.036761446153281,0.00453181019239725,1.45906378544557,0.0001653754002815493,0.009999995926508375,4.0798973282381084e-09,sn1994ae-19941129.51-fast.flm,500,full,0.0043,0.0
166.0308928489685,-54884.71468045544,0.3720658619577089,0.9793791585725491,0.02436565210061817,0.9520515675272186,0.004672036929158248,-0.04369839583057786,0.0004154560732646678,0.08003406883015252,3.0488771819963674e-05,sn1994ae-19941129.51-fast.flm,500,nuis,0.0043,0.0
10.71622896194458,-1383275.7112365186,1.35470020031018,0.07616494871843953,0.008682959626463507,2.0504480552158917,0.007091553864744532,0.8915870248708198,0.00023901098620342573,0.009999991238952361,6.6682729400264764e-09,sn1995al-19951124.51-mmt.flm,20,full,0.0051,0.0
7.034477472305298,-38637.45391081879,1.0634048791110842,15.192915145180615,0.013224415625811317,0.5191037715331547,0.005574434588807257,0.06701876577364073,0.0007384323396173473,0.061036817042823086,6.762365283110379e-05,sn1995al-19951124.51-mmt.flm,20,nuis,0.0051,0.0
26.877723693847656,-1383277.4313802815,0.9269807054247349,0.07793363471625846,0.00865019526193834,2.049800073625215,0.0080891823138536,0.8915492236225228,0.00022322874738864098,0.009999992071044012,7.881268127568284e-09,sn1995al-19951124.51-mmt.flm,50,full,0.0051,0.0
16.728271007537842,-38636.81453603045,0.700364020467662,15.190908943551,0.012401938785716141,0.519534330423,0.0061256974598870905,0.06708116936197683,0.0007243886462102732,0.06102602758660493,6.391508911640375e-05,sn1995al-19951124.51-mmt.flm,50,nuis,0.0051,0.0
53.914912939071655,-1383278.0174668424,0.7157771865582043,0.07787712880594005,0.008655800205173177,2.0490904886065384,0.007829369944528555,0.8915442991578413,0.0002441633595000407,0.00999999223798548,7.761539562472553e-09,sn1995al-19951124.51-mmt.flm,100,full,0.0051,0.0
32.15614652633667,-38636.401764681345,0.536605798684917,15.190803000951194,0.012015682070791685,0.5192427462399721,0.005624759117697439,0.06708075050023904,0.0006727641936774973,0.06102652347381528,6.11176531182208e-05,sn1995al-19951124.51-mmt.flm,100,nuis,0.0051,0.0
78.49982261657715,-1383277.9555859405,0.6241610804362374,0.07677896056596449,0.008776344953247488,2.0490194226783416,0.008402735714642775,0.8915287667084955,0.00026561002382518076,0.009999991237751275,8.723709214880618e-09,sn1995al-19951124.51-mmt.flm,150,full,0.0051,0.0
47.53617882728577,-38636.632967384314,0.47409226525171794,15.19201106758268,0.012326079991695106,0.5194198078247778,0.005611700535933659,0.06704033881623006,0.0007305286514785245,0.061032017729044465,6.603904904288593e-05,sn1995al-19951124.51-mmt.flm,150,nuis,0.0051,0.0
108.57531666755676,-1383278.8603324967,0.5866876925728233,0.07671424206422471,0.008646246370327937,2.049172633777815,0.007978257331029942,0.8915379208311806,0.00023394363319028945,0.009999992268929803,7.684189988164409e-09,sn1995al-19951124.51-mmt.flm,200,full,0.0051,0.0
66.91374063491821,-38636.29513646226,0.43623499775471697,15.191695131308578,0.012715043113968563,0.5195744305676369,0.005619822458159741,0.06706475230741495,0.0006932247794978423,0.0610292149614778,6.423388525498075e-05,sn1995al-19951124.51-mmt.flm,200,nuis,0.0051,0.0
163.90756702423096,-1383278.7642452824,0.5404131859448588,0.07686026561328867,0.008686849715032975,2.049224508525584,0.007969215670258748,0.8915494905688134,0.00024133516397146688,0.009999992205005165,7.858280360241388e-09,sn1995al-19951124.51-mmt.flm,300,full,0.0051,0.0
93.78906917572021,-38636.80535691301,0.40452583707083445,15.191363321754794,0.012556391570295023,0.5192629681533408,0.005780006537087053,0.06703798280386539,0.0007170906592209195,0.06103066554012374,6.437363736068561e-05,sn1995al-19951124.51-mmt.flm,300,nuis,0.0051,0.0
202.8796362876892,-1383278.377772872,0.5045184233209836,0.07665265583969355,0.00855654910994627,2.0495164667447154,0.00808803850941188,0.8915424196162037,0.0002486897751416773,0.009999992026149769,7.929213084251439e-09,sn1995al-19951124.51-mmt.flm,400,full,0.0051,0.0
123.15780711174011,-38636.98098631451,0.38809122428957593,15.191341019706313,0.01203038018229684,0.5192993739838507,0.005546097240765015,0.06706161882160402,0.0007111744814029627,0.061029098445718785,6.342833645060237e-05,sn1995al-19951124.51-mmt.flm,400,nuis,0.0051,0.0
250.34156584739685,-1383278.4688038179,0.49689623179932885,0.07677208030724937,0.008740070711959402,2.049355568751918,0.008099802469510439,0.8915425756474045,0.0002514691674713339,0.00999999187546823,7.862888522874548e-09,sn1995al-19951124.51-mmt.flm,500,full,0.0051,0.0
145.99024033546448,-38636.386997075264,0.37211883447646793,15.191994934199872,0.012425640641609252,0.5195224840722431,0.005833343152744952,0.06704522692678344,0.0007139969458896457,0.06103140150659792,6.404108778169048e-05,sn1995al-19951124.51-mmt.flm,500,nuis,0.0051,0.0
9.435126304626465,-2734.856085349638,1.0732901398185977,-6.037798863505672,0.08065459256359396,-0.9999475264581458,0.02178288800959661,0.21440788528428448,0.0022780781758249585,0.0035165654148838978,3.8934374515574664e-05,sn1996bl-19961016.29-fast.flm,20,full,0.036,0.0
5.937702894210815,-2726.328843153009,0.8592988285564673,-6.033635906490194,0.07931438305808848,-0.9996050697764924,0.023288538905854188,0.21406566948918435,0.0020762691641130504,0.003515852458909172,3.703472610520204e-05,sn1996bl-19961016.29-fast.flm,20,nuis,0.036,0.0
25.5357608795166,-2737.0639268770415,0.7574506153493941,-6.038953524132353,0.07685267305614185,-0.9976745920779679,0.021045822632791807,0.21440531680937316,0.0020055022749844538,0.0035168843869717074,3.6121181419054125e-05,sn1996bl-19961016.29-fast.flm,50,full,0.036,0.0
15.809606552124023,-2728.3216041249034,0.621155517041119,-6.0453110953592395,0.07001225065132698,-0.9982956155065356,0.020326121436591685,0.21449843112366948,0.0019866368643991343,0.0035192898046519277,3.296546067645097e-05,sn1996bl-19961016.29-fast.flm,50,nuis,0.036,0.0
50.70420861244202,-2737.179799332263,0.5850376201147031,-6.0473240491090925,0.07682627273364034,-1.0002163397557735,0.019774093811922744,0.21429307944944742,0.002013062158253204,0.0035210132176368585,3.6895949512588304e-05,sn1996bl-19961016.29-fast.flm,100,full,0.036,0.0
29.920815229415894,-2728.2594549065066,0.47722650072158473,-6.042122261287924,0.07763509992434374,-0.9995311490124386,0.020996969492879432,0.21445703687114087,0.0020294384549052902,0.0035183112604098214,3.701958216121382e-05,sn1996bl-19961016.29-fast.flm,100,nuis,0.036,0.0
74.6449785232544,-2737.8784650531343,0.5212754662907098,-6.041265865178095,0.07885675437784055,-1.0009422373662482,0.020426825052560434,0.21431216696229113,0.001955002865545712,0.003518736250342966,3.7584910345942974e-05,sn1996bl-19961016.29-fast.flm,150,full,0.036,0.0
