filename,true_age,z_true,full_logz,full_logzerr,full_ncall,full_eff,full_chi2,full_ndof,full_age,full_age_err,full_t0_mean,full_t0_std,full_t0_median,full_x1_mean,full_x1_std,full_x1_median,full_x1_q16,full_x1_q84,full_c_mean,full_c_std,full_c_median,full_c_q16,full_c_q84,full_x0_mean,full_x0_std,full_x0_median,full_log10_x0_mean,full_log10_x0_std,nuis_logz,nuis_logzerr,nuis_ncall,nuis_eff,nuis_chi2,nuis_ndof,nuis_age,nuis_age_err,nuis_t0_mean,nuis_t0_std,nuis_t0_median,nuis_x1_mean,nuis_x1_std,nuis_x1_median,nuis_x1_q16,nuis_x1_q84,nuis_c_mean,nuis_c_std,nuis_c_median,nuis_c_q16,nuis_c_q84,nuis_x0_mean,nuis_x0_std,nuis_x0_median,Filename,SNR,Subtype,full_res,nuis_res,abs_nuis_res
sn1999dq-19991031.33-fast.flm,46.330000000001746,0.0141,-29156.380837143497,0.6260491248657815,[1 1 1 ... 1 1 1],2.9545356231344897,58251.161479492235,2544,-6.438017430913203,0.0292620079205408,6.438017430913203,0.0292620079205408,6.439427171081846,1.93716624493298,0.0142265851449721,1.9377498473600383,1.9231648347108752,1.9512495959044855,0.8741339448916978,0.0014263059077763,0.8740426132012344,0.8727706773142154,0.875557174037715,0.0028999538420474,9.94507943639766e-06,0.0029000221054119,-2.5376114689324227,0.0014895879975361,-29145.275528277947,0.4981314143184157,[1 1 1 ... 1 1 1],3.698535662159778,58251.15477427687,2545,-6.4345528400224685,0.0298108615447919,6.4345528400224685,0.0298108615447919,6.434124204111981,1.9363024910672777,0.015156142323199,1.9362983549223864,1.9217314173229856,1.9523019285348304,0.8741018450800858,0.0015062862322156,0.8740741374963155,0.8726850732171139,0.8756182062787414,0.0028996201258026,9.791730976050788e-06,0.0028995393319138,sn1999dq-19991031.33-fast.flm,72.63,91T,-52.76801743091495,-52.764552840024216,52.764552840024216
sn2005eu-20051125.23-fast.flm,39.53000000000611,0.0349,-5069.982801694274,0.5489237912502053,[1 1 1 ... 1 1 1],2.9760936737680925,10091.860163231004,2657,-10.516324625625568,0.2157769314163677,10.516324625625568,0.2157769314163677,10.516761122147926,1.2537857273628257,0.0389509991515165,1.2545764206442769,1.2171554250366727,1.2925759987619436,0.7208280697420214,0.0047795363814377,0.7209793845180954,0.7162136089543161,0.7253083352191689,0.0011230190861559,4.509999104188137e-05,0.0011223422945876,-2.949960165311519,0.0173363693392349,-5062.0175065574185,0.4517231531784609,[1 1 1 ... 1 1 1],3.965682378594282,10091.794867979092,2658,-10.507508765692744,0.2215378663660983,10.507508765692744,0.2215378663660983,10.51286053591472,1.2481207713671894,0.0400474467226103,1.249461599621752,1.2049755936383502,1.2853060251154125,0.7209611969094392,0.0047340601833889,0.7209824562364195,0.7164917206590671,0.7255780787414674,0.0011224614381392,4.767349832230989e-05,0.0011226032097734,sn2005eu-20051125.23-fast.flm,18.38,N,-50.04632462563168,-50.03750876569886,50.03750876569886
sn1998co-19980730.45-fast.flm,36.94999999999709,0.0182,-3687.17454978644,0.5638777572762397,[1 1 1 ... 1 1 1],3.069889659150386,7323.533256832607,2544,-7.1574725179731296,0.0995153731207362,7.1574725179731296,0.0995153731207362,7.158304242510027,2.210880786863492,0.0438043948547395,2.211732635205274,2.164581626976652,2.256474684648092,0.7141819246207122,0.0041228991162077,0.7141285569192659,0.7101190778877413,0.7184714754745113,0.003516202195677,4.14539981996846e-05,0.0035165991478364,-2.4539563344770547,0.0051193729460088,-3677.398649513216,0.4421417421812146,[1 1 2 ... 1 1 1],3.86517677230262,7323.507767060119,2545,-7.165947594292827,0.1009825459114864,7.165947594292827,0.1009825459114864,7.170307339264056,2.210090180513715,0.043334072379872,2.2095400684651985,2.1653868644550296,2.2537799834300216,0.714086262632228,0.0038624578576279,0.7141015838010834,0.7102253903595157,0.7177295626200624,0.0035184492331661,4.06531798740882e-05,0.0035177360292406,sn1998co-19980730.45-fast.flm,26.4,N,-44.10747251797022,-44.11594759428991,44.11594759428991
sn1999dq-19991018.49-fast.flm,33.48999999999796,0.0141,-45413.386678544826,0.6272974375684429,[1 1 1 ... 1 1 1],2.9968399486057575,90766.00774859548,2544,-8.401046452743264,0.0171640179627463,8.401046452743264,0.0171640179627463,8.403592869244328,1.4099601954585366,0.0100133131115417,1.4096547010292897,1.4001217879027603,1.4206923203688682,0.8457139618474838,0.0008003189939503,0.845689655575705,0.8449070003767866,0.8464901714870008,0.0099801825316065,1.9481585620424196e-05,0.0099859654694396,-2.000862344919094,0.0008491741203159,-45397.208828502015,0.4994950927452491,[1 1 1 ... 1 1 1],3.7289397446064703,90755.03902286883,2545,-8.55911128268788,0.0507766808954152,8.55911128268788,0.0507766808954152,8.55731753283748,1.3774727187256672,0.0142914225540608,1.3775987699997383,1.3631082872335425,1.3919942582677312,0.8413000519767319,0.0015758920368172,0.8412419334763408,0.8397691427591072,0.8428005099144085,0.0102460968207716,8.878655341170851e-05,0.0102416339339266,sn1999dq-19991018.49-fast.flm,84.22,91T,-41.89104645274123,-42.04911128268584,42.04911128268584
sn2002do-20020718.29-fast.flm,30.889999999999414,0.0159,-4128.678245849337,0.558750193867326,[1 1 1 ... 1 1 1],2.9972926304120744,8207.802516630123,2544,-9.350178800793188,0.1556599327642968,9.350178800793188,0.1556599327642968,9.352423734281494,1.4829448864185284,0.0428860041128735,1.4847438738025345,1.441472534611429,1.523009023283492,1.005872144741898,0.0050223489606603,1.0059813129314858,1.0008782370333549,1.010808766524435,0.0017032958666816,4.763938094847301e-05,0.0017014944090203,-2.7688791447973213,0.0121146055687558,-4119.386607110955,0.441044275970745,[1 1 1 ... 1 1 1],3.9137479745731025,8207.787748797393,2545,-9.359112864215872,0.155261029442056,9.359112864215872,0.155261029442056,9.360217412950732,1.4818764582949755,0.0409508125019749,1.4818313706415869,1.4438084363328083,1.521850999289489,1.005469535449593,0.0050739481639675,1.005447680030367,1.0003766643154393,1.0106100509279208,0.0017072933630597,4.827122336982172e-05,0.0017063813762481,sn2002do-20020718.29-fast.flm,20.47,N,-40.240178800792606,-40.24911286421528,40.24911286421528
sn2006cf-20060618.19-fast.flm,31.790000000000873,0.0416,-7275.773463239454,0.5659323355713308,[1 1 1 ... 1 1 1],2.9709189768093256,14500.533364425446,2653,-7.94451307489523,0.1049217259456101,7.94451307489523,0.1049217259456101,7.946534363217424,1.83344768964344,0.0313246717709779,1.8334415987012005,1.8008256273617835,1.86555227100566,0.9599521540741196,0.0038264529502822,0.9600218398233448,0.9561033409501823,0.9637424351034052,0.0009468379097558,1.352311727446592e-05,0.0009466714707245,-3.0237686079899033,0.0061977521551042,-7266.957672143648,0.4600890635458046,[1 1 1 ... 1 1 1],3.9162041741577425,14500.537951046972,2654,-7.950603011580605,0.0984388528401945,7.950603011580605,0.0984388528401945,7.948298698863688,1.8334432587164124,0.0311869370712824,1.833556047065929,1.8028321141483925,1.8645271780971011,0.9598824939997704,0.0035455406054507,0.9598066737356304,0.9565021131524762,0.9634924548463846,0.0009466915844021,1.2388173877259154e-05,0.0009463079089367,sn2006cf-20060618.19-fast.flm,21.92,N,-39.7345130748961,-39.74060301158148,39.74060301158148
sn2002bf-20020403.21-fast.flm,29.80999999999767,0.0244,-13126.354246797868,0.5911570486580622,[1 1 1 ... 1 1 1],2.973602185708238,26197.591198734182,2544,-6.223034310762153,0.0391110503077052,6.223034310762153,0.0391110503077052,6.2235274239876475,1.9300341290919936,0.0205832817745256,1.931122941025559,1.9105493747577784,1.949825649847507,0.91585738765088,0.0020367835640869,0.9158581454388486,0.9138871632600284,0.9179430832561316,0.0019586638207824,8.618455834128594e-06,0.001958491687977,-2.708044302559319,0.0019108523812945,-13117.046390513951,0.4819569311999886,[1 1 1 ... 1 1 1],3.7787647758270966,26197.59874868823,2545,-6.222802421493872,0.0378096194068684,6.222802421493872,0.0378096194068684,6.221760114202205,1.9314723054313827,0.0196418842858207,1.9324755602872212,1.912541259067421,1.949811244738335,0.9159095510813776,0.0020788560297701,0.9159348345088428,0.9136980419265136,0.917888391271728,0.0019589443727936,8.5058493163989e-06,0.0019587502773728,sn2002bf-20020403.21-fast.flm,49.53,HV,-36.033034310759824,-36.032802421491546,36.032802421491546
sn2003ic-20031017.23-fast.flm,23.43000000000029,0.0553,-13471.815568524678,0.5918724430843886,[1 1 1 ... 1 1 1],2.942491982375501,26888.531281169937,2544,-7.882155650098765,0.0617140631797649,7.882155650098765,0.0617140631797649,7.878714828668883,2.0296447759154215,0.0233882686279906,2.028863130950926,2.0065749401349926,2.0526695934065566,0.9303080957234028,0.0023702661579652,0.9302986678562036,0.9280797400084452,0.9325011330114789,0.0009549253259987,7.573863459918952e-06,0.000954636768527,-3.020044237574294,0.0034425372071375,-13462.47412588929,0.4809528999493601,[1 1 1 ... 1 1 1],3.816550772333988,26888.556777603495,2545,-7.876837856097636,0.0596712561539648,7.876837856097636,0.0596712561539648,7.873933990761721,2.0275243024119507,0.023843751121726,2.026836734427153,2.0042780782715575,2.0504085351356007,0.930230415638848,0.0023648137482452,0.9302604176047709,0.9278678874046972,0.932546643207088,0.0009550246032238,7.0908015736650035e-06,0.000954268650818,sn2003ic-20031017.23-fast.flm,22.84,N,-31.312155650099054,-31.30683785609793,31.30683785609793
sn2002do-20020704.39-fast.flm,16.989999999997963,0.0159,-5944.206329089134,0.5818684834918024,[1 1 1 ... 1 1 1],2.9951459697594913,11835.027077764897,2544,-9.500448112682438,0.1133968551880275,9.500448112682438,0.1133968551880275,9.498203294710436,1.563842708953348,0.0294628630217877,1.5637141507508456,1.5334625007620506,1.5941252609006034,0.9000883388675982,0.0033952816956142,0.9000115100109078,0.8966446147491158,0.9034153616025238,0.0042489203349012,8.435326766496667e-05,0.0042461519079762,-2.371807015272839,0.0086238086215759,-5934.832317179151,0.4680618170635516,[1 1 1 ... 1 1 1],3.820855812578523,11835.002111983402,2545,-9.485592447604912,0.1116374179490809,9.485592447604912,0.1116374179490809,9.482666436055853,1.569232921007402,0.0307434418762083,1.5681937901670064,1.540957527287901,1.600838031414873,0.9002234967758372,0.0035022435422302,0.9004832557965081,0.8968604014202675,0.9037564310695309,0.0042389453896896,8.591954205870236e-05,0.0042362247733937,sn2002do-20020704.39-fast.flm,32.11,N,-26.4904481126804,-26.475592447602875,26.475592447602875
sn2002bf-20020321.22-fast.flm,16.81999999999971,0.0244,-18275.95706002946,0.5995470039479551,[1 1 1 ... 1 1 1],2.977635309158962,36494.36358834916,2544,-5.947990198404971,0.036911052273959,5.947990198404971,0.036911052273959,5.94770275961983,1.8204813318312096,0.0178383281409913,1.820161733545067,1.80266748306172,1.8383683296503617,0.7623299671408115,0.0017082922428615,0.7622439336095539,0.7607212725442447,0.764133112295039,0.0040040050185074,1.4892922353476091e-05,0.0040040126283331,-2.397508390865881,0.0016152961428663,-18266.15951190977,0.4919234449688694,[1 1 1 ... 1 1 1],3.723581572104807,36494.354221753274,2545,-5.948325506988009,0.0360550577970155,5.948325506988009,0.0360550577970155,5.947927045813977,1.821203246813682,0.0175964959323313,1.820770682244337,1.803720158429728,1.8395577779919403,0.7621069893741881,0.0016937336700291,0.762065579589335,0.7604224167972768,0.7638461105758649,0.0040046203262177,1.444206718062736e-05,0.0040042034711177,sn2002bf-20020321.22-fast.flm,57.93,HV,-22.76799019840468,-22.76832550698772,22.76832550698772
